"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
aza_period,medication,,checkbox,"Acetalozamide (AZA) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[aza] = '1' or [aza] = '2' or [aza] = '3' or [aza] = '4' or [aza] = '5' or [aza] = '7'",,,,,,
aza_start,medication,,text,"Acetazolamide (AZA) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[aza_period(1)] = '1'",,,,,,
aza_stop,medication,,text,"Acetazolamide (AZA) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[aza_period(2)] = '1'",,,,,,
aza_adr_occur,medication,,radio,"Adverse Drug Reaction on Acetazolamide (AZA)","1, Yes | 2, No | 998, Unknown",,,,,,"[aza] = '1' or [aza] = '2' or [aza] = '3' or [aza] = '4' or [aza] = '5' or [aza] = '7'",,,,,,
aza_adr,medication,,checkbox,"Adverse Drug Reaction on Acetazolamide (AZA)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[aza_adr_occur] = '1'",,,,,,
aza_adr_other,medication,,notes,"Adverse Drug Reaction on Acetazolamide (AZA) Other",,,,,,,"[aza_adr(996)] = '1'",,,,,,
aza_adr_led_to,medication,,radio,"Adverse Drug Reaction on Acetazolamide (AZA) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[aza_adr_occur] = '1'",,,,,,
aza_comment,medication,,notes,"Acetazolamide (AZA) Comment",,,,,,,"[aza] = '1' or [aza] = '2' or [aza] = '3' or [aza] = '4' or [aza] = '5' or [aza] = '7'",,,,,,
brv_sf_combi,medication,"

AED Details Brivaracetam (BRV)",text,"Brivaracetam (BRV) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[brv] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
brv_dose_known,medication,,radio,"Brivaracetam (BRV) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[brv] = '1' or [brv] = '2' or [brv] = '3' or [brv] = '4' or [brv] = '5' or [brv] = '7'",,,,,,
brv_max,medication,,text,"Brivaracetam (BRV) - Maximum dose [mg]",,,number,,,,"[brv_dose_known] = '1'",,,,,,
brv_max_mg_kg,medication,,text,"Brivaracetam (BRV) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[brv_dose_known] = '1'",,,,,,
brv_max_ml_l,medication,,text,"Brivaracetam (BRV) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[brv_dose_known] = '1'",,,,,,
brv_period,medication,,checkbox,"Brivaracetam (BRV) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[brv] = '1' or [brv] = '2' or [brv] = '3' or [brv] = '4' or [brv] = '5' or [brv] = '7'",,,,,,
brv_start,medication,,text,"Brivaracetam (BRV) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[brv_period(1)] = '1'",,,,,,
brv_stop,medication,,text,"Brivaracetam (BRV) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[brv_period(2)] = '1'",,,,,,
brv_adr_occur,medication,,radio,"Adverse Drug Reaction on Brivaracetam (BRV) ","1, Yes | 2, No | 998, Unknown",,,,,,"[brv] = '1' or [brv] = '2' or [brv] = '3' or [brv] = '4' or [brv] = '5' or [brv] = '7'",,,,,,
brv_adr,medication,,checkbox,"Adverse Drug Reaction on Brivaracetam (BRV)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[brv_adr_occur] = '1'",,,,,,
brv_adr_other,medication,,notes,"Adverse Drug Reaction on Brivaracetam (BRV) Other",,,,,,,"[brv_adr(996)] = '1'",,,,,,
brv_adr_led_to,medication,,radio,"Adverse Drug Reaction on Brivaracetam (BRV) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[brv_adr_occur] = '1'",,,,,,
brv_comment,medication,,notes,"Brivaracetam (BRV) Comment",,,,,,,"[brv] = '1' or [brv] = '2' or [brv] = '3' or [brv] = '4' or [brv] = '5' or [brv] = '7'",,,,,,
br_sf_combi,medication,"

AED Details Bromide (BR)",text,"Bromide (BR) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[br] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
br_dose_known,medication,,radio,"Bromide (BR) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[br] = '1' or [br] = '2' or [br] = '3' or [br] = '4' or [br] = '5' or [br] = '7'",,,,,,
br_max,medication,,text,"Bromide (BR) - Maximum dose [mg]",,,number,,,,"[br_dose_known] = '1'",,,,,,
br_max_mg_kg,medication,,text,"Bromide (BR) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[br_dose_known] = '1'",,,,,,
br_max_ml_l,medication,,text,"Bromide (BR) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[br_dose_known] = '1'",,,,,,
br_period,medication,,checkbox,"Bromide (BR) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[br] = '1' or [br] = '2' or [br] = '3' or [br] = '4' or [br] = '5' or [br] = '7'",,,,,,
br_start,medication,,text,"Bromide (BR) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[br_period(1)] = '1'",,,,,,
br_stop,medication,,text,"Bromide (BR) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[br_period(2)] = '1'",,,,,,
br_adr_occur,medication,,radio,"Adverse Drug Reaction on Bromide (BR) ","1, Yes | 2, No | 998, Unknown",,,,,,"[br] = '1' or [br] = '2' or [br] = '3' or [br] = '4' or [br] = '5' or [br] = '7'",,,,,,
br_adr,medication,,checkbox,"Adverse Drug Reaction on Bromide (BR)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[br_adr_occur] = '1'",,,,,,
br_adr_other,medication,,notes,"Adverse Drug Reaction on Bromide (BR) Other",,,,,,,"[br_adr(996)] = '1'",,,,,,
br_adr_led_to,medication,,radio,"Adverse Drug Reaction on Bromide (BR) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[br_adr_occur] = '1'",,,,,,
br_comment,medication,,notes,"Bromide (BR) Comment",,,,,,,"[br] = '1' or [br] = '2' or [br] = '3' or [br] = '4' or [br] = '5' or [br] = '7'",,,,,,
cbd_sf_combi,medication,"

AED Details Cannabidiol (CBD)",text,"Cannabidiol (CBD) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[cbd] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
cbd_dose_known,medication,,radio,"Cannabidiol (CBD) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[cbd] = '1' or [cbd] = '2' or [cbd] = '3' or [cbd] = '4' or [cbd] = '5' or [cbd] = '7'",,,,,,
cbd_max,medication,,text,"Cannabidiol (CBD) - Maximum dose [mg]",,,number,,,,"[cbd_dose_known] = '1'",,,,,,
cbd_max_mg_kg,medication,,text,"Cannabidiol (CBD) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[cbd_dose_known] = '1'",,,,,,
cbd_max_ml_l,medication,,text,"Cannabidiol (CBD) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[cbd_dose_known] = '1'",,,,,,
cbd_period,medication,,checkbox,"Cannabidiol (CBD) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[cbd] = '1' or [cbd] = '2' or [cbd] = '3' or [cbd] = '4' or [cbd] = '5' or [cbd] = '7'",,,,,,
cbd_start,medication,,text,"Cannabidiol (CBD) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cbd_period(1)] = '1'",,,,,,
cbd_stop,medication,,text,"Cannabidiol (CBD) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cbd_period(2)] = '1'",,,,,,
cbd_adr_occur,medication,,radio,"Adverse Drug Reaction on Cannabidiol (CBD) ","1, Yes | 2, No | 998, Unknown",,,,,,"[cbd] = '1' or [cbd] = '2' or [cbd] = '3' or [cbd] = '4' or [cbd] = '5' or [cbd] = '7'",,,,,,
cbd_adr,medication,,checkbox,"Adverse Drug Reaction on Cannabidiol (CBD)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[cbd_adr_occur] = '1'",,,,,,
cbd_adr_other,medication,,notes,"Adverse Drug Reaction on Cannabidiol (CBD) Other",,,,,,,"[cbd_adr(996)] = '1'",,,,,,
cbd_adr_led_to,medication,,radio,"Adverse Drug Reaction on Cannabidiol (CBD) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[cbd_adr_occur] = '1'",,,,,,
cbd_comment,medication,,notes,"Cannabidiol (CBD) Comment",,,,,,,"[cbd] = '1' or [cbd] = '2' or [cbd] = '3' or [cbd] = '4' or [cbd] = '5' or [cbd] = '7'",,,,,,
cbz_sf_combi,medication,"

AED Details Carbamazepine (CBZ)",text,"Carbamazepine (CBZ) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[cbz] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
cbz_dose_known,medication,,radio,"Carbamazepine (CBZ) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[cbz] = '1' or [cbz] = '2' or [cbz] = '3' or [cbz] = '4' or [cbz] = '5' or [cbz] = '7'",,,,,,
cbz_max,medication,,text,"Carbamazepine (CBZ) - Maximum dose [mg]",,,number,,,,"[cbz_dose_known] = '1'",,,,,,
cbz_max_mg_kg,medication,,text,"Carbamazepine (CBZ) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[cbz_dose_known] = '1'",,,,,,
cbz_max_ml_l,medication,,text,"Carbamazepine (CBZ) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[cbz_dose_known] = '1'",,,,,,
cbz_period,medication,,checkbox,"Carbamazepine (CBZ) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[cbz] = '1' or [cbz] = '2' or [cbz] = '3' or [cbz] = '4' or [cbz] = '5' or [cbz] = '7'",,,,,,
cbz_start,medication,,text,"Carbamazepine (CBZ) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cbz_period(1)] = '1'",,,,,,
cbz_stop,medication,,text,"Carbamazepine (CBZ) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cbz_period(2)] = '1'",,,,,,
cbz_adr_occur,medication,,radio,"Adverse Drug Reaction on Carbamazepine (CBZ) ","1, Yes | 2, No | 998, Unknown",,,,,,"[cbz] = '1' or [cbz] = '2' or [cbz] = '3' or [cbz] = '4' or [cbz] = '5' or [cbz] = '7'",,,,,,
cbz_adr,medication,,checkbox,"Adverse Drug Reaction on Carbamazepine (CBZ)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[cbz_adr_occur] = '1'",,,,,,
cbz_adr_other,medication,,notes,"Adverse Drug Reaction on Carbamazepine (CBZ) Other",,,,,,,"[cbz_adr(996)] = '1'",,,,,,
cbz_adr_led_to,medication,,radio,"Adverse Drug Reaction on Carbamazepine (CBZ) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[cbz_adr_occur] = '1'",,,,,,
cbz_comment,medication,,notes,"Carbamazepine (CBZ) Comment",,,,,,,"[cbz] = '1' or [cbz] = '2' or [cbz] = '3' or [cbz] = '4' or [cbz] = '5' or [cbz] = '7'",,,,,,
cen_sf_combi,medication,"

AED Details Cenobamate",text,"Cenobamate - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[cen] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
cen_dose_known,medication,,radio,"Cenobamate - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[cen] = '1' or [cen] = '2' or [cen] = '3' or [cen] = '4' or [cen] = '5' or [cen] = '7'",,,,,,
cen_max,medication,,text,"Cenobamate - Maximum dose [mg]",,,number,,,,"[cen_dose_known] = '1'",,,,,,
cen_max_mg_kg,medication,,text,"Cenobamate - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[cen_dose_known] = '1'",,,,,,
cen_max_ml_l,medication,,text,"Cenobamate - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[cen_dose_known] = '1'",,,,,,
cen_period,medication,,checkbox,"Cenobamate time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[cen] = '1' or [cen] = '2' or [cen] = '3' or [cen] = '4' or [cen] = '5' or [cen] = '7'",,,,,,
cen_start,medication,,text,"Cenobamate start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cen_period(1)] = '1'",,,,,,
cen_stop,medication,,text,"Cenobamate stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[cen_period(2)] = '1'",,,,,,
cen_adr_occur,medication,,radio,"Adverse Drug Reaction on Cenobamate","1, Yes | 2, No | 998, Unknown",,,,,,"[cen] = '1' or [cen] = '2' or [cen] = '3' or [cen] = '4' or [cen] = '5' or [cen] = '7'",,,,,,
cen_adr,medication,,checkbox,"Adverse Drug Reaction on Cenobamate","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[cen_adr_occur] = '1'",,,,,,
cen_adr_other,medication,,notes,"Adverse Drug Reaction on Cenobamate Other",,,,,,,"[cen_adr(996)] = '1'",,,,,,
cen_adr_led_to,medication,,radio,"Adverse Drug Reaction on Cenobamate led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[cen_adr_occur] = '1'",,,,,,
cen_comment,medication,,notes,"Cenobamate Comment",,,,,,,"[cen] = '1' or [cen] = '2' or [cen] = '3' or [cen] = '4' or [cen] = '5' or [cen] = '7'",,,,,,
clb_sf_combi,medication,"

AED Details Clobazam (CLB)",text,"Clobazam (CLB) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[clb] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
clb_dose_known,medication,,radio,"Clobazam (CLB) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[clb] = '1' or [clb] = '2' or [clb] = '3' or [clb] = '4' or [clb] = '5' or [clb] = '7'",,,,,,
clb_max,medication,,text,"Clobazam (CLB) - Maximum dose [mg]",,,number,,,,"[clb_dose_known] = '1'",,,,,,
clb_max_mg_kg,medication,,text,"Clobazam (CLB) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[clb_dose_known] = '1'",,,,,,
clb_max_ml_l,medication,,text,"Clobazam (CLB) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[clb_dose_known] = '1'",,,,,,
clb_period,medication,,checkbox,"Clobazam (CLB) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[clb] = '1' or [clb] = '2' or [clb] = '3' or [clb] = '4' or [clb] = '5' or [clb] = '7'",,,,,,
clb_start,medication,,text,"Clobazam (CLB) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[clb_period(1)] = '1'",,,,,,
clb_stop,medication,,text,"Clobazam (CLB) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[clb_period(2)] = '1'",,,,,,
clb_adr_occur,medication,,radio,"Adverse Drug Reaction on Clobazam (CLB) ","1, Yes | 2, No | 998, Unknown",,,,,,"[clb] = '1' or [clb] = '2' or [clb] = '3' or [clb] = '4' or [clb] = '5' or [clb] = '7'",,,,,,
clb_adr,medication,,checkbox,"Adverse Drug Reaction on Clobazam (CLB)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[clb_adr_occur] = '1'",,,,,,
clb_adr_other,medication,,notes,"Adverse Drug Reaction on Clobazam (CLB) Other",,,,,,,"[clb_adr(996)] = '1'",,,,,,
clb_adr_led_to,medication,,radio,"Adverse Drug Reaction on Clobazam (CLB) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[clb_adr_occur] = '1'",,,,,,
clb_comment,medication,,notes,"Clobazam (CLB) Comment",,,,,,,"[clb] = '1' or [clb] = '2' or [clb] = '3' or [clb] = '4' or [clb] = '5' or [clb] = '7'",,,,,,
czp_sf_combi,medication,"

AED Details Clonazepam (CZP)",text,"Clonazepam (CZP) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[czp] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
czp_dose_known,medication,,radio,"Clonazepam (CZP) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[czp] = '1' or [czp] = '2' or [czp] = '3' or [czp] = '4' or [czp] = '5' or [czp] = '7'",,,,,,
czp_max,medication,,text,"Clonazepam (CZP) - Maximum dose [mg]",,,number,,,,"[czp_dose_known] = '1'",,,,,,
czp_max_mg_kg,medication,,text,"Clonazepam (CZP) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[czp_dose_known] = '1'",,,,,,
czp_max_ml_l,medication,,text,"Clonazepam (CZP) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[czp_dose_known] = '1'",,,,,,
czp_period,medication,,checkbox,"Clonazepam (CZP) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[czp] = '1' or [czp] = '2' or [czp] = '3' or [czp] = '4' or [czp] = '5' or [czp] = '7'",,,,,,
czp_start,medication,,text,"Clonazepam (CZP) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[czp_period(1)] = '1'",,,,,,
czp_stop,medication,,text,"Clonazepam (CZP) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[czp_period(2)] = '1'",,,,,,
czp_adr_occur,medication,,radio,"Adverse Drug Reaction on Clonazepam (CZP) ","1, Yes | 2, No | 998, Unknown",,,,,,"[czp] = '1' or [czp] = '2' or [czp] = '3' or [czp] = '4' or [czp] = '5' or [czp] = '7'",,,,,,
czp_adr,medication,,checkbox,"Adverse Drug Reaction on Clonazepam (CZP)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[czp_adr_occur] = '1'",,,,,,
czp_adr_other,medication,,notes,"Adverse Drug Reaction on Clonazepam (CZP) Other",,,,,,,"[czp_adr(996)] = '1'",,,,,,
czp_adr_led_to,medication,,radio,"Adverse Drug Reaction on Clonazepam (CZP) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[czp_adr_occur] = '1'",,,,,,
czp_comment,medication,,notes,"Clonazepam (CZP) Comment",,,,,,,"[czp] = '1' or [czp] = '2' or [czp] = '3' or [czp] = '4' or [czp] = '5' or [czp] = '7'",,,,,,
dzp_sf_combi,medication,"

AED Details Diazepam (DZP)",text,"Diazepam (DZP) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[dzp] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
dzp_dose_known,medication,,radio,"Diazepam (DZP) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[dzp] = '1' or [dzp] = '2' or [dzp] = '3' or [dzp] = '4' or [dzp] = '5' or [dzp] = '7'",,,,,,
dzp_max,medication,,text,"Diazepam (DZP) - Maximum dose [mg]",,,number,,,,"[dzp_dose_known] = '1'",,,,,,
dzp_max_mg_kg,medication,,text,"Diazepam (DZP) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[dzp_dose_known] = '1'",,,,,,
dzp_max_ml_l,medication,,text,"Diazepam (DZP) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[dzp_dose_known] = '1'",,,,,,
dzp_period,medication,,checkbox,"Diazepam (DZP) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[dzp] = '1' or [dzp] = '2' or [dzp] = '3' or [dzp] = '4' or [dzp] = '5' or [dzp] = '7'",,,,,,
dzp_start,medication,,text,"Diazepam (DZP) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[dzp_period(1)] = '1'",,,,,,
dzp_stop,medication,,text,"Diazepam (DZP) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[dzp_period(2)] = '1'",,,,,,
dzp_adr_occur,medication,,radio,"Adverse Drug Reaction on Diazepam (DZP) ","1, Yes | 2, No | 998, Unknown",,,,,,"[dzp] = '1' or [dzp] = '2' or [dzp] = '3' or [dzp] = '4' or [dzp] = '5' or [dzp] = '7'",,,,,,
dzp_adr,medication,,checkbox,"Adverse Drug Reaction on Diazepam (DZP)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[dzp_adr_occur] = '1'",,,,,,
dzp_adr_other,medication,,notes,"Adverse Drug Reaction on Diazepam (DZP) Other",,,,,,,"[dzp_adr(996)] = '1'",,,,,,
dzp_adr_led_to,medication,,radio,"Adverse Drug Reaction on Diazepam (DZP) led to","1, No change | 2, Dose reduction | 3, Withdrawal of AED",,,,,,"[dzp_adr_occur] = '1'",,,,,,
dzp_comment,medication,,notes,"Diazepam (DZP) Comment",,,,,,,"[dzp] = '1' or [dzp] = '2' or [dzp] = '3' or [dzp] = '4' or [dzp] = '5' or [dzp] = '7'",,,,,,
esl_sf_combi,medication,"

AED Details Eslicarbazepine (ESL)",text,"Eslicarbazepine (ESL) - Seizure free in combination with",,"Additional AEDs which led to seizure freedom in combination",,,,,"[esl] = '2'",,,,,," @PLACEHOLDER=""e.g. LEV; or LEV + LTG"""
esl_dose_known,medication,,radio,"Eslicarbazepine (ESL) - Maximum dose known","1, Yes | 2, No | 3, Exact dose unknown but sufficient",,,,,,"[esl] = '1' or [esl] = '2' or [esl] = '3' or [esl] = '4' or [esl] = '5' or [esl] = '7'",,,,,,
esl_max,medication,,text,"Eslicarbazepine (ESL) - Maximum dose [mg]",,,number,,,,"[esl_dose_known] = '1'",,,,,,
esl_max_mg_kg,medication,,text,"Eslicarbazepine (ESL) - Maximum dose [mg/kg]<div class='note'>if available</div>",,,number,,,,"[esl_dose_known] = '1'",,,,,,
esl_max_ml_l,medication,,text,"Eslicarbazepine (ESL) - Maximum level [mg/l]<div class='note'>if available</div>",,,number,,,,"[esl_dose_known] = '1'",,,,,,
esl_period,medication,,checkbox,"Eslicarbazepine (ESL) time period","1, Start date is known | 2, Stop date is known | 3, Is ongiong* | 4, Start and/or Stop date is unknown but period was adequate | 5, Period was inadequate","*Treatment is ongoing at date of last clinical information",,,,,"[esl] = '1' or [esl] = '2' or [esl] = '3' or [esl] = '4' or [esl] = '5' or [esl] = '7'",,,,,,
esl_start,medication,,text,"Eslicarbazepine (ESL) start date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[esl_period(1)] = '1'",,,,,,
esl_stop,medication,,text,"Eslicarbazepine (ESL) stop date",,"Use 01 (Jan) as month or 01 as day if said information is missing.",date_ymd,,,,"[esl_period(2)] = '1'",,,,,,
esl_adr_occur,medication,,radio,"Adverse Drug Reaction on Eslicarbazepine (ESL) ","1, Yes | 2, No | 998, Unknown",,,,,,"[esl] = '1' or [esl] = '2' or [esl] = '3' or [esl] = '4' or [esl] = '5' or [esl] = '7'",,,,,,
esl_adr,medication,,checkbox,"Adverse Drug Reaction on Eslicarbazepine (ESL)","1, Aggression | 2, Agitation | 3, Apathy | 4, Aphasia | 5, Ataxia | 6, Exanthema | 7, Fatigue | 8, Gingival hyperplasia | 9, Hair loss | 10, Psychomotoric slowing | 11, Sleep disorder | 12, Speech disorder | 13, Tremor | 14, Dizziness | 15, Weight gain | 16, Weight loss | 996, Other, please specify",,,,,,"[esl_adr_occur] = '1'",,,,,,
